index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], pstate
0, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 73.21 W, P0
1, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 68.38 W, P0
2, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 68.92 W, P0
3, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 71.95 W, P0
4, NVIDIA H800, 100 %, 653 MiB, 81559 MiB, 362.40 W, P0
5, NVIDIA H800, 0 %, 545 MiB, 81559 MiB, 106.87 W, P0
6, NVIDIA H800, 0 %, 8 MiB, 81559 MiB, 73.76 W, P0
7, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 71.73 W, P0
