# gpu         pid  type    sm    mem    enc    dec     fb   ccpm    command
# Idx           #   C/G     %      %      %      %     MB     MB    name
    0    4013126     C    21     0     -     -   682     0   python3        
    1    4010120     C    24     0     -     -   682     0   python3        
    2          -     -     -     -     -     -     -     -   -              
    3    4006838     C    19     0     -     -   696     0   python3        
    4          -     -     -     -     -     -     -     -   -              
    5          -     -     -     -     -     -     -     -   -              
    6          -     -     -     -     -     -     -     -   -              
    7          -     -     -     -     -     -     -     -   -              
