index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], pstate
0, NVIDIA H800, 100 %, 667 MiB, 81559 MiB, 324.64 W, P0
1, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 68.67 W, P0
2, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 68.68 W, P0
3, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 72.71 W, P0
4, NVIDIA H800, 0 %, 545 MiB, 81559 MiB, 117.80 W, P0
5, NVIDIA H800, 100 %, 663 MiB, 81559 MiB, 339.50 W, P0
6, NVIDIA H800, 0 %, 8 MiB, 81559 MiB, 74.01 W, P0
7, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 71.90 W, P0
