timestamp_s,power_w
1782468664.254039,345.570
1782468664.410713,324.930
1782468664.528609,271.560
1782468664.652555,245.080
1782468664.781870,233.430
1782468664.926424,210.900
1782468665.033112,170.180
1782468665.144178,141.180
1782468665.324411,117.220
1782468665.453410,117.060
1782468665.594890,116.880
1782468665.786578,116.820
1782468666.148646,116.820
1782468666.287113,116.750
1782468666.461569,116.740
1782468666.620761,116.860
1782468666.766278,116.930
1782468666.869552,116.880
1782468666.995598,116.750
1782468667.099590,116.740
1782468667.203214,116.710
1782468667.325540,116.730
1782468667.469085,116.790
1782468667.610043,116.660
1782468667.760701,116.630
1782468667.906049,116.510
1782468668.072498,116.500
1782468668.216716,116.610
1782468668.388855,116.500
1782468668.576027,116.470
1782468668.722283,116.440
1782468668.869211,116.470
1782468669.024019,116.620
1782468669.167598,116.540
