# gpu         pid  type    sm    mem    enc    dec     fb   ccpm    command
# Idx           #   C/G     %      %      %      %     MB     MB    name
    0          -     -     -     -     -     -     -     -   -              
    1          -     -     -     -     -     -     -     -   -              
    2    3531295     C    22     0     -     -   710     0   python3        
    3    3531525     C    19     0     -     -   688     0   python3        
    4    3531750     C    21     0     -     -   688     0   python3        
    5    3531941     C    21     0     -     -   700     0   python3        
    6          -     -     -     -     -     -     -     -   -              
    7          -     -     -     -     -     -     -     -   -              
