# gpu         pid  type    sm    mem    enc    dec    command
# Idx           #   C/G     %      %      %      %    name
    0     576406     C    87    62     -     -   python         
    1     576408     C    88    63     -     -   python         
    2     576409     C    87    63     -     -   python         
    3          -     -     -     -     -     -   -              
    4          -     -     -     -     -     -   -              
    5          -     -     -     -     -     -   -              
    6          -     -     -     -     -     -   -              
    7          -     -     -     -     -     -   -              
