# gpu         pid  type    sm    mem    enc    dec     fb   ccpm    command
# Idx           #   C/G     %      %      %      %     MB     MB    name
    0          -     -     -     -     -     -     -     -   -              
    1          -     -     -     -     -     -     -     -   -              
    2    3729419     C    20     0     -     -   706     0   python3        
    3    3769798     C    12     0     -     -   608     0   python3        
    4          -     -     -     -     -     -     -     -   -              
    5    3721165     C    24     0     -     -   702     0   python3        
    6          -     -     -     -     -     -     -     -   -              
    7          -     -     -     -     -     -     -     -   -              
