artifact_id,config_id,label,arm,optimized_scope,artifact_status,ap70,latency_p50_ms,energy_joule_per_inference,latency_quality_flag,latency_claim_status,energy_claim_status,missing_artifacts
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_base_fp16_default:baede709fd,calibration_h800_tvm_pyramid_base_fp16_default,base,baseline,backbone_only,ready,0.6308636231895992,56.259800999999996,,stable,claimable,no_claim,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_base_fp16_metaschedule_tuned:c0b7d7e743,calibration_h800_tvm_pyramid_base_fp16_metaschedule_tuned,base,S,backbone_only,ready,0.6308636231895992,6.209998,1.92134548,stable,claimable,claimable,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s0_fp16_default:137a0a47c3,calibration_h800_tvm_pyramid_iso_s0_fp16_default,iso_s0,S,backbone_only,ready,0.6299191671696608,51.191752,,stable,claimable,no_claim,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s0_fp16_metaschedule_tuned:fb76bc3d13,calibration_h800_tvm_pyramid_iso_s0_fp16_metaschedule_tuned,iso_s0,S,backbone_only,ready,0.6299191671696608,21.72284,,stable,claimable,no_claim,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s1_fp16_default:0b2a2b77dc,calibration_h800_tvm_pyramid_iso_s1_fp16_default,iso_s1,S,backbone_only,ready,0.6335990600322648,51.623512999999996,,stable,claimable,no_claim,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s1_fp16_metaschedule_tuned:6e557b4207,calibration_h800_tvm_pyramid_iso_s1_fp16_metaschedule_tuned,iso_s1,S,backbone_only,ready,0.6335990600322648,6.917596,,stable,claimable,no_claim,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s2_fp16_default:c69350035a,calibration_h800_tvm_pyramid_iso_s2_fp16_default,iso_s2,S,backbone_only,ready,0.6338902378413247,51.956699,,stable,claimable,no_claim,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s2_fp16_metaschedule_tuned:3a26967b83,calibration_h800_tvm_pyramid_iso_s2_fp16_metaschedule_tuned,iso_s2,S,backbone_only,ready,0.6338902378413247,7.25165,,stable,claimable,no_claim,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_mix_a_fp16_default:f674fa27a6,calibration_h800_tvm_pyramid_mix_a_fp16_default,mix_a,S,backbone_only,ready,0.6287552124269079,35.793215,,stable,claimable,no_claim,
artifact:pyramid_lidar:calibration_h800_tvm_pyramid_mix_a_fp16_metaschedule_tuned:5b456a94ed,calibration_h800_tvm_pyramid_mix_a_fp16_metaschedule_tuned,mix_a,S,backbone_only,ready,0.6287552124269079,5.658444,,stable,claimable,no_claim,
