timestamp_s,power_w
1782470082.822220,122.640
1782470083.000125,145.640
1782470083.171510,148.290
1782470083.359895,145.650
1782470083.502746,171.790
1782470083.712576,183.460
1782470083.901948,191.670
1782470084.116395,186.120
1782470084.334064,184.480
1782470084.575997,167.500
1782470084.745459,154.550
1782470084.929645,137.460
1782470085.140962,120.850
1782470085.332523,121.250
1782470085.512432,137.820
1782470085.730543,143.330
1782470085.931946,141.650
1782470086.138779,141.660
1782470086.351647,136.200
1782470086.576750,122.390
1782470086.906839,133.120
1782470087.098215,155.720
1782470087.297446,169.010
1782470087.514011,188.270
1782470087.759694,189.270
1782470087.945985,168.060
1782470088.128724,151.270
1782470088.295073,149.190
1782470088.482292,138.710
1782470088.713540,158.360
1782470088.941734,153.800
1782470089.148108,146.990
1782470089.424423,142.230
1782470089.593457,149.540
1782470089.807646,152.800
1782470090.079904,161.480
1782470090.272610,152.600
1782470090.455503,149.360
1782470090.610404,158.620
1782470090.775843,138.050
1782470090.998715,157.910
1782470091.192087,168.140
1782470091.384685,174.690
1782470091.589006,165.380
1782470091.771862,164.480
1782470091.955032,143.340
1782470092.177944,134.630
1782470092.396473,142.180
1782470092.628492,139.960
1782470092.836362,140.510
1782470093.024001,148.360
1782470093.248867,144.730
1782470093.495929,140.320
1782470093.685899,144.490
1782470093.901178,165.490
1782470094.038502,158.740
1782470094.251834,154.730
1782470094.439095,154.550
1782470094.615003,154.310
1782470094.791871,158.460
1782470094.996118,153.060
1782470095.234526,157.900
1782470095.463734,154.610
1782470095.672014,144.220
1782470095.859637,130.680
1782470096.094486,130.510
1782470096.259073,130.330
1782470096.444484,129.230
1782470096.598476,147.170
1782470096.813756,160.830
1782470097.003494,180.320
1782470097.209505,192.440
1782470097.339745,191.680
1782470097.545292,171.080
1782470097.770053,154.640
1782470097.997947,152.900
1782470098.171458,133.030
1782470098.382428,138.490
1782470098.544165,141.110
1782470098.735306,138.400
1782470098.914239,136.050
1782470099.124781,145.430
1782470099.332276,145.830
1782470099.553500,140.910
1782470099.752509,144.150
1782470099.915328,140.520
1782470100.092093,145.060
1782470100.311594,160.270
1782470100.564938,161.210
1782470100.755951,157.220
1782470100.938806,141.320
1782470101.081599,136.630
1782470101.222509,146.810
1782470101.404157,153.520
1782470101.630059,158.090
1782470101.866684,159.620
1782470102.088824,159.290
1782470102.347338,128.480
1782470102.589664,132.500
1782470102.750279,130.840
1782470102.935550,129.360
1782470103.166224,121.780
1782470103.398356,140.230
1782470103.623252,141.630
1782470103.835237,141.300
1782470104.070360,145.020
1782470104.331372,145.500
1782470104.514275,142.600
1782470104.672433,133.870
1782470104.852679,136.730
1782470105.120356,145.480
1782470105.347159,145.400
1782470105.507860,149.600
1782470105.727488,156.360
1782470105.885912,158.670
1782470106.094687,164.850
1782470106.255445,160.440
1782470106.474278,143.300
1782470106.697687,157.480
1782470106.886993,153.650
1782470107.134856,143.270
1782470107.285992,146.770
1782470107.471699,149.820
1782470107.695508,143.020
1782470107.875334,141.460
1782470108.046540,140.890
