index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], pstate
0, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 71.04 W, P0
1, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 67.76 W, P0
2, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 68.62 W, P0
3, NVIDIA H800, 0 %, 8099 MiB, 81559 MiB, 117.94 W, P0
4, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 70.61 W, P0
5, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 73.46 W, P0
6, NVIDIA H800, 0 %, 8 MiB, 81559 MiB, 74.07 W, P0
7, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 70.79 W, P0
