# gpu         pid  type    sm    mem    enc    dec     fb   ccpm    command
# Idx           #   C/G     %      %      %      %     MB     MB    name
    0          -     -     -     -     -     -     -     -   -              
    1          -     -     -     -     -     -     -     -   -              
    2          -     -     -     -     -     -     -     -   -              
    3          -     -     -     -     -     -     -     -   -              
    4    3412913     C     0     0     -     -   650     0   python3        
    5    3416854     C     0     0     -     -   532     0   python3        
    6          -     -     -     -     -     -     -     -   -              
    7          -     -     -     -     -     -     -     -   -              
