config_id,model_class,source,is_pareto,predicted_lat_ms,predicted_amota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
a7_v2_univ2x_full_0017,univ2x_full,a7_v2_univ2x_full_pareto,True,426.6,0.34742718959664437,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU
a7_v2_univ2x_full_0018,univ2x_full,a7_v2_univ2x_full_pareto,False,499.5,0.3438716849142834,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
a7_v2_univ2x_full_0019,univ2x_full,a7_v2_univ2x_full_pareto,False,475.2,0.34422242317917917,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
a7_v2_univ2x_full_0020,univ2x_full,a7_v2_univ2x_full_pareto,False,471.15,0.35415846354772956,none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
a7_v2_univ2x_full_0021,univ2x_full,a7_v2_univ2x_full_pareto,False,475.2,0.35048194782506265,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU
a7_v2_univ2x_full_0022,univ2x_full,a7_v2_univ2x_full_pareto,False,483.3,0.34039101807356553,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU
a7_v2_univ2x_full_0023,univ2x_full,a7_v2_univ2x_full_pareto,False,475.2,0.3437388382834932,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU
a7_v2_univ2x_full_0024,univ2x_full,a7_v2_univ2x_full_pareto,False,459.0,0.35048110474525307,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU
a7_v2_univ2x_full_0025,univ2x_full,a7_v2_univ2x_full_pareto,False,515.7,0.33505640333558817,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
a7_v2_univ2x_full_0026,univ2x_full,a7_v2_univ2x_full_pareto,False,503.55,0.3264867549355757,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU
