config_id,source,is_pareto,est_amota,est_lat_e2e_ms,est_uncertainty,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
p1a_0017,a7_random,False,0.31096666666666667,528.2546666666666,0.02055275055936689,"d3_baseline_int8_2frame,v3_D4,v3_D5","0.000,0.000,0.000",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU
p1a_0018,a7_random,True,0.3613333333333334,244.00000000000003,0.02053181812591265,"bev_fp16_trt,all_fp16_trt,d3_baseline_fp16_2frame","1.732,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
p1a_0019,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.000,1.000,1.000",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0020,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
p1a_0021,a7_random,False,0.31621564621212106,424.0954029194982,0.03454131181964898,"v3_D1,v3_D3,all_fp16_trt","1.000,1.000,1.414",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU
p1a_0022,a7_random,False,0.24133333333333337,422.4666666666667,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","2.236,2.236,2.236",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU
p1a_0023,a7_random,False,0.31621564621212106,424.0954029194982,0.03454131181964898,"v3_D1,v3_D3,all_fp16_trt","1.000,1.000,1.414",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0024,a7_random,False,0.3111333333333333,541.8106666666666,0.02009068330235575,"d3_baseline_int8_2frame,v3_D1,v3_D3","1.414,1.414,1.414",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU
p1a_0025,a7_random,True,0.3613333333333333,244.0,0.02053181812591265,"bev_fp16_trt,all_fp16_trt,d3_baseline_fp16_2frame","1.414,1.414,1.414",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
p1a_0026,a7_random,False,0.24133333333333334,422.46666666666664,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.000,1.000,1.000",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU
p1a_0027,a7_random,False,0.31486666666666663,529.4086666666667,0.017077340412240898,"d3_baseline_int8_2frame,v3_D3,v3_D4","1.000,1.000,1.000",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU
p1a_0028,a7_random,False,0.24133333333333337,422.4666666666667,0.15652972738606413,"d3_baseline_fp16_2frame,all_fp16_trt,d3_baseline_fp16_0frame","1.732,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
p1a_0029,a7_random,False,0.3020000193746847,521.8440423556065,0.02009068330235575,"v3_D3,d3_baseline_int8_2frame,v3_D1","0.000,1.414,1.414",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU
