config_name,prune_rate__backbone,prune_rate__encoder,prune_rate__decoder,prune_rate__heads,prune_rate__v2x_comm,bn_recal_batches,n_samples,AP30,AP50,AP70,lat_mean_ms,lat_p50_ms,lat_p99_ms,timestamp
baseline,0.0,0.0,0.0,0.0,0.0,0,2170,0.9690378913646471,0.9634669311277431,0.9270658138635868,45.03861865689677,37.584896087646484,122.67798690795898,2026-05-09 18:44:53
uniform_30,0.3,0.3,0.3,0.3,0.3,50,2170,0.9408539080316018,0.7847886571422253,0.23425955527472694,44.2540465623003,37.03715133666992,119.85733863830556,2026-05-09 18:44:53
framework_front_heavy,0.5,0.5,0.3,0.3,0.2,50,2170,0.9186558257193242,0.7427629764210756,0.1998963172337914,44.000464174384895,37.95110511779785,119.51805831909178,2026-05-09 18:44:53
framework_back_heavy,0.3,0.3,0.7,0.5,0.2,50,2170,0.944842055347439,0.7942907711664249,0.2362187424636437,44.002675071399885,36.2475528717041,121.3866555023192,2026-05-09 18:44:53
