t_voxelize_ms,t_encoder_ms,t_backbone_ms,t_fusion_ms,t_head_ms,t_e2e_ms,n_voxels,batch_agents,frame
9.650400161743164,108.89164733886719,35.500606536865234,143.21034240722656,29.714752197265625,326.9677486419678,22441,2,005805.npy
9.581855773925781,110.49980926513672,36.43193435668945,144.3011474609375,29.149887084960938,329.9646339416504,22639,2,005806.npy
9.617919921875,32.764801025390625,35.40867233276367,142.76815795898438,29.736255645751953,250.29580688476562,22453,2,005807.npy
9.556927680969238,33.20918273925781,35.3636474609375,142.77696228027344,29.72118377685547,250.62790393829346,22769,2,005808.npy
9.647871971130371,32.83148956298828,35.38240051269531,142.67420959472656,29.768512725830078,250.3044843673706,22507,2,005809.npy
9.537983894348145,33.14393615722656,35.41852951049805,142.72540283203125,29.73075294494629,250.5566053390503,22713,2,005810.npy
9.583359718322754,33.119808197021484,35.40671920776367,142.86105346679688,29.68796730041504,250.65890789031982,22674,2,005811.npy
9.58191967010498,33.034847259521484,35.39215850830078,142.68569946289062,29.722848892211914,250.41747379302979,22668,2,005812.npy
9.663552284240723,33.05574417114258,35.4219856262207,142.6888885498047,29.700288772583008,250.5304594039917,22613,2,005813.npy
9.496479988098145,33.08582305908203,35.40351867675781,142.83016967773438,29.676319122314453,250.49231052398682,22732,2,005814.npy
9.22764778137207,112.76185607910156,36.6464958190918,143.50294494628906,29.135839462280273,331.27478408813477,23199,2,005816.npy
9.560832023620605,32.65001678466797,35.19855880737305,143.04290771484375,29.7741756439209,250.22649097442627,22701,2,005817.npy
9.651519775390625,33.38959884643555,35.43552017211914,142.7289276123047,29.72822380065918,250.93379020690918,22922,2,005818.npy
9.53718376159668,33.4073600769043,35.445823669433594,143.144287109375,29.788511276245117,251.3231658935547,22957,2,005819.npy
9.292160034179688,33.631038665771484,35.42588806152344,142.60435485839844,29.715391159057617,250.66883277893066,23112,2,005820.npy
9.5065279006958,33.33148956298828,35.376991271972656,142.82774353027344,29.72012710571289,250.76287937164307,22892,2,005821.npy
9.632831573486328,33.82944107055664,35.3963508605957,142.83033752441406,29.749919891357422,251.43888092041016,23255,2,005822.npy
9.484416007995605,33.25270462036133,35.39353561401367,143.04039001464844,29.726688385009766,250.8977346420288,22925,2,005823.npy
9.527872085571289,33.297279357910156,35.413726806640625,142.7420196533203,29.717695236206055,250.69859313964844,22876,2,005824.npy
9.587519645690918,33.50236892700195,36.140830993652344,141.89561462402344,29.76780891418457,250.89414310455322,22908,2,005825.npy
9.635616302490234,114.00118255615234,36.23535919189453,144.27398681640625,29.149951934814453,333.2960968017578,23305,2,005826.npy
9.650912284851074,33.05433654785156,35.45225524902344,142.7520294189453,29.7674560546875,250.6769895553589,22941,2,005827.npy
9.556415557861328,33.44646453857422,35.46112060546875,142.8909149169922,29.723936080932617,251.0788516998291,22986,2,005828.npy
9.613568305969238,33.60793685913086,35.40022277832031,142.9166717529297,29.78643226623535,251.32483196258545,23120,2,005829.npy
9.524319648742676,33.762142181396484,35.408512115478516,142.75094604492188,29.778688430786133,251.22460842132568,23283,2,005830.npy
9.614879608154297,33.488033294677734,35.36979293823242,142.85533142089844,29.71945571899414,251.04749298095703,23042,2,005831.npy
9.607263565063477,33.724609375,35.398719787597656,142.80108642578125,29.729408264160156,251.26108741760254,23195,2,005832.npy
9.605567932128906,33.34588623046875,35.40607833862305,142.82150268554688,29.679136276245117,250.8581714630127,22938,2,005833.npy
9.51360034942627,33.92291259765625,35.42009735107422,142.92066955566406,29.756511688232422,251.53379154205322,23466,2,005834.npy
9.646047592163086,33.98102569580078,35.41593551635742,142.93423461914062,29.69443130493164,251.67167472839355,23368,2,005835.npy
9.231040000915527,33.73545455932617,35.37958526611328,142.80697631835938,29.701120376586914,250.85417652130127,23221,2,005836.npy
9.606016159057617,33.89494323730469,35.44803237915039,142.84291076660156,29.763071060180664,251.55497360229492,23356,2,005837.npy
9.849504470825195,33.420257568359375,35.436641693115234,142.8536376953125,29.716320037841797,251.2763614654541,22912,2,005839.npy
9.567296028137207,33.52048110961914,35.411808013916016,142.75885009765625,29.73219108581543,250.99062633514404,23053,2,005840.npy
9.810912132263184,33.58457565307617,35.37091064453125,142.79327392578125,29.77155113220215,251.331223487854,23066,2,005841.npy
9.815808296203613,33.9640007019043,35.391231536865234,142.76626586914062,29.79871940612793,251.7360258102417,23480,2,005842.npy
9.647359848022461,33.633121490478516,35.409793853759766,142.7519989013672,29.75119972229004,251.19347381591797,23064,2,005843.npy
9.393759727478027,33.754878997802734,35.44313430786133,142.66099548339844,29.780704498291016,251.03347301483154,23171,2,005844.npy
9.563520431518555,33.35174560546875,35.3590087890625,142.65574645996094,29.71615982055664,250.64618110656738,22922,2,005845.npy
9.64566421508789,33.549598693847656,35.42448043823242,142.6766357421875,29.725887298583984,251.02226638793945,23074,2,005846.npy
