chain_id,mode,batch_agents,precision,power_mode,t_voxelize_p50_ms,t_encoder_p50_ms,t_backbone_p50_ms,t_fusion_p50_ms,t_head_p50_ms,t_prebody_p50_ms,t_body_p50_ms,t_nms_ms,t_e2e_synth_ms,t_e2e_measured_ms,n_frames,warmup_frames,data_kind,scope_note,source
D1_B1_FP32,pytorch_fullchain,1,fp32,MODE_30W,4.81,17.46,18.45,72.82,29.78,40.72,102.60,,143.05,143.05,40,20,真测,PyTorch FP32 全链 B=1(单agent); no NMS; stable_p50 from frames3+; first2帧JIT冷启encoder~39ms已排除,"E8_D1;CUDA_Event;PyTorch_FP32;MODE_30W_612MHz;warmup20_n40;2026-06-06;d1_b1_fp32_orin.csv"
D1_B2_FP32,pytorch_fullchain,2,fp32,MODE_30W,9.59,33.49,35.41,142.80,29.73,78.49,172.53,,251.02,251.02,40,20,真测,PyTorch FP32 全链 B=2(双agent协同); no NMS; stable_p50 from frames3+; first2帧JIT冷启encoder~109ms已排除,"E8_D1;CUDA_Event;PyTorch_FP32;MODE_30W_612MHz;warmup20_n40;2026-06-06;d1_b2_fp32_orin.csv"
D2_B2_FP16_synth,hybrid_synth,2,fp16,MODE_30W,9.59,33.49,35.41,,,78.49,47.99,4.27,130.75,,40+200,20+200,合成口径,D1真测pre-body + E7真测TRT_fp16_body + E7真测NMS_mean; 合成非全链真测; 张量接口未实测; ±2ms合理误差,"E8_D2_synth;D1=E8_D1+E7_trtexec;NMS=E7;2026-06-06;合成"
D2_B2_INT8_synth,hybrid_synth,2,int8,MODE_30W,9.59,33.49,35.41,,,78.49,20.02,4.27,102.78,,40+200,20+200,合成口径,D1真测pre-body + E7真测TRT_p75int8_body + E7真测NMS_mean; 合成非全链真测; 张量接口未实测; ±2ms合理误差,"E8_D2_synth;D1=E8_D1+E7_trtexec;NMS=E7;2026-06-06;合成"
D1_B2_FP32_NMS,pytorch_fullchain_nms,2,fp32,MODE_30W,9.59,33.49,35.41,142.80,29.73,78.49,172.53,4.27,255.29,,40,20,合成口径(D1真测+E7真测NMS),PyTorch FP32 B=2 + NMS_mean合成(NMS=E7真测4.27ms); 200ms预算分析用,"E8_D1_NMS_synth;D1_true+NMS_E7;2026-06-06"
