model,platform,precision,framework,mean_ms,p50_ms,p99_ms,std_ms,n_iter
resnet18,rtx4090,fp32,pytorch_cuda_event,1.2889545577764512,1.217519998550415,3.7201509809494,0.3742540703561339,200
resnet18,rtx4090,fp16,pytorch_cuda_event,1.3905558413267136,1.3732159733772278,1.4434245896339382,0.17330761451140334,200
resnet34,rtx4090,fp32,pytorch_cuda_event,2.0294785475730897,2.02947199344635,2.0574002504348754,0.009177161252368376,200
resnet34,rtx4090,fp16,pytorch_cuda_event,2.412992316484451,2.3992799520492554,2.5366304898262,0.05965978387992352,200
resnet50,rtx4090,fp32,pytorch_cuda_event,2.7665323197841643,2.766848087310791,2.859582421779632,0.07372734055741605,200
resnet50,rtx4090,fp16,pytorch_cuda_event,3.2106771230697633,3.212415933609009,3.307150499820709,0.08170543893106211,200
resnet101,rtx4090,fp32,pytorch_cuda_event,5.38838992357254,5.403519868850708,5.485752367973327,0.08507697460507635,200
resnet101,rtx4090,fp16,pytorch_cuda_event,6.2171819257736205,6.193664073944092,6.3497786712646445,0.08988794696919505,200
