model,lat_4090_fp16_ms,lat_4090_fp32_ms,lat_orin_fp16_ms,lat_orin_int8_ms,ratio_orin_fp16__over__4090_fp32,ratio_orin_fp16__over__4090_fp16,ratio_orin_int8__over__4090_fp32,ratio_orin_int8__over__orin_fp16
resnet101,6.2171819257736205,5.38838992357254,5.15512,4.8073,0.9567087892893467,0.8291730982857696,0.8921588949919063,0.9325292136749483
resnet18,1.3905558413267136,1.2889545577764512,1.18356,0.954964,0.9182325263985527,0.851141654887285,0.7408825968600388,0.8068572780425158
resnet34,2.412992316484451,2.0294785475730897,2.10721,1.74537,1.03830119442251,0.8732767135661861,0.8600090905553868,0.8282847936370842
resnet50,3.2106771230697637,2.7665323197841643,2.83201,2.54056,1.0236677806897785,0.8820600426156474,0.918319291566493,0.8970872277993369
