config_id,model_class,source,is_pareto,est_lat_4090_pytorch_ms,est_params_M,est_orin_fp16_ms,est_orin_int8_ms,est_orin_fp16_uncertainty_ms,est_orin_int8_uncertainty_ms,amota_pending,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m4_7_pyramid_0011,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_pyramid_0012,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0013,pyramid_fusion,m4_7_pyramid_pareto,False,2.573976888964404,1.2676847465881131,2.540302518532104,2.238489047561344,0.11897833443106252,0.09397632087318694,TBD: M4.5 OPV2V inference,"prune25_fp16,prune50_fp16,prune75_fp16","1.764,1.799,1.997",channel,0.5,FPGM,FP16,per-channel,W-only,GPU,0.2,L1,INT8,per-tensor,W+A,GPU,0.4,L1,INT8,per-tensor,W+A,GPU,0.375,L1,FP32,none,none,GPU,0.15,L1,FP16,per-tensor,W+A,GPU
m4_7_pyramid_0014,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.236,2.236,2.236",none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0015,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU
m4_7_pyramid_0016,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0017,pyramid_fusion,m4_7_pyramid_pareto,False,3.6251309684532043,3.4557499245375563,3.537215654072598,3.2153582936038583,0.16756640145846766,0.13235412973569885,TBD: M4.5 OPV2V inference,"baseline_fp32,baseline_fp16,shallow_fp16","1.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU
m4_7_pyramid_0018,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.236,2.236,2.236",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU
m4_7_pyramid_0019,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0020,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.000,1.000,1.000",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_pyramid_0021,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0022,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU
m4_7_pyramid_0023,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.236,2.236,2.236",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU
m4_7_pyramid_0024,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_pyramid_0025,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU
m4_7_pyramid_0026,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
m4_7_pyramid_0027,pyramid_fusion,m4_7_pyramid_pareto,False,2.578019733763603,1.2713802344120735,2.544136747180328,2.2422461853853073,0.11916520904622876,0.09412392580379798,TBD: M4.5 OPV2V inference,"prune25_fp16,prune50_fp16,prune75_fp16","2.024,2.100,2.313",channel,0.4,FPGM,FP32,none,none,GPU,0.297,L1,INT8,per-channel,W+A,GPU,0.05,L1,FP16,per-channel,W+A,GPU,0.125,L1,FP32,none,none,GPU,0.375,L1,FP32,none,none,GPU
m4_7_pyramid_0028,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.000,1.000,1.000",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU
m4_7_pyramid_0029,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU
m4_7_pyramid_0030,pyramid_fusion,m4_7_pyramid_pareto,False,2.495171405719005,1.190859356896469,2.465563502689478,2.1652527309222203,0.11533566569507986,0.09109911967849564,TBD: M4.5 OPV2V inference,"prune75_fp16,prune50_fp16,prune25_fp16","1.756,1.791,1.990",channel,0.75,L1,INT8,per-channel,W-only,GPU,0.8,L1,FP16,per-channel,W+A,GPU,0.7,L1,FP32,none,none,GPU,0.5,L1,FP16,per-channel,W+A,GPU,0.625,L1,FP32,none,none,GPU
m4_7_pyramid_0031,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
m4_7_pyramid_0032,pyramid_fusion,m4_7_pyramid_pareto,False,3.508080266316732,4.763566666666668,3.4262049233328806,3.106579539493509,0.16215590315761189,0.12808058928956276,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.732,1.732,1.732",none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU
m4_7_pyramid_0033,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","2.000,2.000,2.000",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m4_7_pyramid_0034,pyramid_fusion,m4_7_pyramid_pareto,False,3.5080802663167314,4.763566666666666,3.42620492333288,3.1065795394935085,0.16215590315761189,0.12808058928956273,TBD: M4.5 OPV2V inference,"baseline_fp16,shallow_fp16,wider_fp16","1.414,1.414,1.414",none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU
