config_id,model_class,source,is_pareto,est_lat_4090_pytorch_ms,est_params_M,est_orin_fp16_ms,est_orin_int8_ms,est_orin_fp16_uncertainty_ms,est_orin_int8_uncertainty_ms,amota_pending,nn_ids,nn_distances,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m5_6_uniad_tiny_0010,uniad_tiny_variant,m5_6_uniad_tiny_pareto,True,519.8224771760698,99.84619955547265,493.09809450808467,482.9331487094605,24.0280372366207,18.978804402493143,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_E4,v3_E5","2.236,2.250,2.291",none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0011,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,538.401202905058,100.38937542497561,510.71813336084716,500.19891987417276,24.886811786059596,19.657116743993917,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D1,v3_D3,v3_E4","1.732,2.236,2.250",none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0012,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.5517714904066,100.627773,506.118939035768,495.69219673795163,24.66265387884349,19.4800632029813,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D3,v3_D1","1.414,1.732,2.236",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0013,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,535.5813460072552,100.62777300000002,508.0437848170721,497.57834165880394,24.75646800617838,19.554163303432528,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D1,v3_D3","1.414,1.732,1.732",none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0014,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,536.1787842232148,100.38515705029543,508.6103944291032,498.1335590441233,24.784083717945297,19.57597587126313,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D1,v3_E4","1.414,1.732,1.750",none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0015,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.4815021836234,100.627773,506.0522957183663,495.62689334801416,24.65940578243729,19.47749765899755,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D2,v3_D1,v3_D3","1.000,2.000,2.000",none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0016,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,521.9423516638476,99.84515699044569,495.1085806621132,484.9032121216554,24.12602534865079,19.05620136978077,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_D3,v3_E4,v3_E5","2.449,2.462,2.500",none,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0017,uniad_tiny_variant,m5_6_uniad_tiny_pareto,False,533.9459340113608,100.36620348775051,506.4927622481253,496.05850387805236,24.680873467542728,19.494454141650635,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_D1,v3_E4","2.236,2.236,2.250",none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_uniad_tiny_0018,uniad_tiny_variant,m5_6_uniad_tiny_pareto,True,526.7322698264722,97.09285815072944,499.65133269786304,489.35462779461176,24.347432342432874,19.23108207214334,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_P1_30,v3_P1_20,v3_P1_40","1.444,1.445,1.456",channel,0.125,FPGM,FP16,per-channel,W+A,GPU,0.15,Taylor,FP16,per-tensor,W-only,GPU,0.375,Taylor,FP32,none,none,GPU,0.2,L1,FP32,none,none,GPU,0.0,L1,FP32,none,none,GPU
m5_6_uniad_tiny_0019,uniad_tiny_variant,m5_6_uniad_tiny_pareto,True,520.0687383974824,98.81035752432489,493.3316483240199,483.16200670315055,24.03942030306712,18.98779544031532,TBD: M5.7 抽样实测 + 精度预测器 v5.1 代理,"v3_baseline,v3_P1_20,v3_P1_30","1.414,1.755,1.783",none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
