config_id,model_class,source,is_pareto,predicted_lat_ms,predicted_amota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
m5_6_v2_uniad_tiny_0020,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,513.6,0.32252754661403116,none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0021,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,513.6,0.32675410170637614,none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0022,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,497.55,0.30228059361797044,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0023,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,518.9499999999999,0.2882342015176188,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0024,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,508.25,0.3225688284234514,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0025,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,492.2,0.30129302613635395,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0026,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,508.25,0.29185090000071223,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0027,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,486.8500000000001,0.3231321820165455,none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0028,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,497.55,0.32865862016557496,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0029,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,497.55,0.3358143469340212,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0030,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,524.3000000000001,0.33321259707534295,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0031,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,513.6,0.32252754661403116,none,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
m5_6_v2_uniad_tiny_0032,uniad_tiny_variant,m5_6_v2_uniad_tiny_pareto,False,497.55,0.30957290995226133,none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU
