config_id,model_class,is_pareto,est_lat_4090_ms,est_orin_fp16_ms,est_orin_int8_ms,est_amota,est_params_M,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm
p1a_0000,univ2x_full,False,529.4086666666667,,,0.3148666666666666,,none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU
p1a_0001,univ2x_full,False,422.4666666666666,,,0.2413333333333333,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W+A,GPU
p1a_0002,univ2x_full,False,2154.4996430064857,,,0.3485237992653707,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
p1a_0003,univ2x_full,False,422.4666666666667,,,0.2413333333333333,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU
p1a_0004,univ2x_full,False,422.4666666666666,,,0.2413333333333333,,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU
p1a_0005,univ2x_full,False,409.42734091316777,,,0.3298678996971363,,none,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU
p1a_0006,univ2x_full,False,407.6262481753861,,,0.3303085034556132,,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP32,none,none,GPU
p1a_0007,univ2x_full,False,401.9928148462934,,,0.3246593712064531,,none,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU
p1a_0008,univ2x_full,False,422.4666666666666,,,0.2413333333333333,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP32,none,none,GPU
p1a_0009,univ2x_full,False,386.44242650428185,,,0.3170500176646397,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU
p1a_0010,univ2x_full,False,409.42734091316777,,,0.3298678996971363,,none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP32,none,none,GPU,0.0,none,INT8,per-channel,W+A,GPU
p1a_0011,univ2x_full,True,244.00000000000003,,,0.3613333333333334,,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-channel,W-only,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP16,per-channel,W+A,GPU
