# gpu         pid  type    sm    mem    enc    dec     fb   ccpm    command
# Idx           #   C/G     %      %      %      %     MB     MB    name
    0    3319848     C     9     0     -     -   688     0   python3        
    1    3320319     C     0     0     -     -   532     0   python3        
    2          -     -     -     -     -     -     -     -   -              
    3          -     -     -     -     -     -     -     -   -              
    4          -     -     -     -     -     -     -     -   -              
    5          -     -     -     -     -     -     -     -   -              
    6          -     -     -     -     -     -     -     -   -              
    7          -     -     -     -     -     -     -     -   -              
