timestamp_s,power_w
1782469685.386904,119.520
1782469685.605900,121.540
1782469685.828780,133.690
1782469686.028759,148.580
1782469686.193568,146.790
1782469686.375242,149.360
1782469686.599412,148.670
1782469686.798708,135.150
1782469687.042339,140.370
1782469687.207654,144.240
1782469687.426163,151.730
1782469687.607656,156.020
1782469687.859374,162.360
1782469688.059253,148.440
1782469688.213484,149.630
1782469688.403236,143.460
1782469688.609543,141.780
1782469688.824267,143.490
1782469689.004599,139.970
1782469689.191935,138.780
1782469689.384440,134.050
1782469689.594587,133.490
1782469689.841488,143.460
1782469690.068200,140.730
1782469690.319222,146.850
1782469690.628744,139.570
1782469690.918318,145.620
1782469691.131249,154.620
1782469691.378606,151.730
1782469691.602828,143.460
1782469691.808824,140.390
1782469692.008013,127.220
1782469692.189907,127.930
1782469692.342699,144.510
1782469692.521229,151.010
1782469692.739407,167.830
1782469692.952502,176.760
1782469693.136596,200.750
1782469693.358967,189.720
1782469693.567530,182.410
1782469693.777615,158.430
1782469694.010319,131.360
1782469694.192685,124.210
1782469694.390196,124.920
1782469694.628415,136.430
1782469694.855718,148.910
1782469695.037873,162.510
1782469695.284062,162.140
1782469695.456483,170.860
1782469695.691121,159.400
1782469695.985198,131.650
1782469696.162620,136.010
1782469696.383193,125.760
1782469696.575335,125.950
1782469696.749367,140.360
1782469696.999588,139.410
1782469697.238134,154.520
1782469697.457927,162.370
1782469697.635700,172.990
1782469697.803541,169.810
1782469698.041039,193.380
1782469698.206989,169.730
1782469698.465746,144.160
1782469698.686251,142.790
1782469698.894277,141.550
1782469699.117597,126.730
1782469699.323555,135.120
1782469699.499432,136.370
1782469699.714299,138.500
1782469699.926609,151.190
1782469700.095902,144.470
1782469700.300368,140.110
1782469700.516008,141.690
1782469700.735996,161.090
1782469700.961099,155.440
1782469701.167496,151.280
1782469701.390768,150.520
1782469701.608481,129.720
1782469701.826589,139.170
1782469702.044870,153.000
1782469702.236324,174.220
1782469702.450325,187.700
1782469702.665788,174.780
1782469702.887233,170.280
1782469703.147462,168.210
1782469703.321384,145.030
1782469703.547609,155.890
1782469703.785019,159.220
1782469703.988848,159.900
1782469704.166881,142.020
1782469704.383722,135.660
1782469704.607749,124.120
1782469704.794840,124.190
1782469705.048933,138.930
1782469705.286485,138.980
1782469705.498811,138.500
1782469705.707267,139.320
1782469705.904133,126.350
1782469706.084757,126.150
1782469706.474654,122.570
1782469706.835259,141.960
1782469707.007548,142.440
1782469707.167898,142.050
1782469707.386069,144.740
1782469707.503355,146.450
1782469707.724474,134.490
1782469707.948780,147.110
1782469708.170578,144.820
1782469708.365511,145.510
1782469708.640229,153.090
1782469708.907936,143.810
1782469709.240029,162.680
1782469709.430746,177.650
1782469709.656113,163.750
1782469709.862239,170.840
1782469710.029636,179.120
1782469710.220426,171.720
1782469710.403006,168.680
1782469710.529333,167.990
1782469710.724752,167.270
1782469710.923295,160.930
1782469711.112374,157.760
1782469711.331704,171.660
1782469711.499263,168.240
1782469711.670686,149.430
1782469711.820250,156.550
1782469711.973882,145.800
1782469712.094959,145.650
1782469712.259890,137.740
1782469712.400727,137.580
1782469712.572933,138.110
1782469712.755373,146.230
1782469712.936440,163.000
1782469713.112881,162.740
1782469713.247236,168.910
1782469713.408802,175.000
1782469713.540155,188.570
1782469713.698109,185.530
1782469713.874781,164.370
1782469714.062550,164.780
1782469714.240698,169.270
1782469714.428555,159.340
1782469714.605103,160.250
1782469714.814151,160.450
1782469715.024924,165.070
1782469715.274409,146.960
1782469715.516812,139.320
1782469715.725825,145.220
1782469715.887698,136.120
1782469716.134269,155.370
1782469716.270694,155.330
1782469716.480201,150.570
1782469716.687188,141.040
1782469716.813562,142.840
1782469717.072272,125.030
1782469717.278691,125.690
1782469717.476591,125.370
1782469717.659681,132.120
1782469717.834030,149.370
1782469718.000847,150.980
1782469718.125992,157.730
1782469718.265782,161.110
1782469718.438712,181.490
1782469718.591457,176.620
1782469718.749411,169.170
1782469718.932148,181.480
1782469719.093424,176.400
1782469719.230071,190.570
1782469719.393975,185.040
1782469719.512773,169.930
1782469719.612853,177.770
1782469719.758504,166.260
1782469719.910527,169.200
1782469720.054338,163.180
1782469720.208279,155.170
1782469720.365243,155.570
1782469720.511174,154.900
1782469720.634965,173.510
1782469720.764857,167.480
1782469720.929265,172.030
1782469721.133728,183.370
1782469721.325454,192.520
1782469721.580292,183.230
1782469721.756348,162.450
1782469721.994871,142.650
1782469722.203789,142.180
1782469722.391151,134.640
1782469722.578149,133.300
1782469722.817788,129.810
1782469722.956420,137.180
1782469723.186714,137.680
1782469723.355868,146.380
1782469723.494823,148.990
1782469723.674474,146.590
1782469723.876179,141.590
1782469724.082086,132.770
1782469724.320613,129.120
1782469724.469313,128.430
1782469724.624576,137.350
1782469724.817205,142.510
1782469725.012352,146.010
1782469725.183422,146.440
1782469725.345006,153.980
1782469725.492313,157.960
1782469725.672826,146.220
1782469725.855005,151.090
1782469726.000031,151.820
1782469726.168220,149.100
1782469726.344947,151.260
1782469726.492488,151.190
1782469726.669547,148.530
1782469726.816608,153.070
1782469726.958024,151.510
1782469727.073124,150.410
1782469727.171680,150.590
1782469727.323287,142.220
1782469727.473750,142.370
1782469727.617560,149.490
1782469727.826514,156.970
1782469727.951590,160.090
1782469728.079601,156.580
1782469728.272611,151.790
1782469728.483002,146.150
1782469728.804374,123.200
1782469729.192487,123.410
1782469729.823105,129.070
1782469730.127482,139.510
1782469730.321505,145.560
1782469730.527897,156.580
1782469731.139892,159.960
1782469731.320891,160.030
1782469731.570278,145.570
1782469731.785723,145.970
1782469731.935740,170.510
1782469732.068124,166.150
1782469732.179303,150.790
1782469732.316324,148.430
1782469732.448686,163.580
1782469732.599829,160.920
1782469732.740944,184.300
1782469732.914041,182.650
1782469733.039934,181.270
1782469733.161408,192.220
1782469733.315770,177.170
1782469733.490275,172.660
1782469733.629343,189.760
1782469733.755643,180.500
1782469733.882147,175.390
1782469734.007114,173.520
1782469734.132919,171.400
1782469734.260795,172.220
1782469734.406024,169.750
1782469734.544259,192.510
1782469734.664222,176.010
1782469734.779117,166.790
1782469734.920039,177.520
1782469735.048874,183.670
1782469735.196741,168.310
1782469735.329143,175.510
1782469735.485406,160.530
1782469735.625787,168.340
1782469735.776584,168.280
1782469735.919999,168.710
1782469736.068536,153.870
1782469736.198841,152.000
1782469736.354340,151.470
1782469736.483271,149.090
1782469736.615035,146.140
1782469736.751118,159.750
1782469736.839517,179.600
1782469736.970523,168.090
1782469737.094659,168.970
