# gpu         pid  type    sm    mem    enc    dec    command
# Idx           #   C/G     %      %      %      %    name
    0     576406     C    81    44     -     -   python         
    0    3053833     C    16     9     -     -   python         
    1     576408     C    97    22     -     -   python         
    2     576409     C    97    21     -     -   python         
    3          -     -     -     -     -     -   -              
    4          -     -     -     -     -     -   -              
    5          -     -     -     -     -     -   -              
    6          -     -     -     -     -     -   -              
    7          -     -     -     -     -     -   -              
