index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], pstate
0, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 74.50 W, P0
1, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 67.46 W, P0
2, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 68.16 W, P0
3, NVIDIA H800, 0 %, 6813 MiB, 81559 MiB, 116.56 W, P0
4, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 69.94 W, P0
5, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 72.87 W, P0
6, NVIDIA H800, 0 %, 8 MiB, 81559 MiB, 73.40 W, P0
7, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 70.11 W, P0
