triplet,ft,q,d,seed,ap50,lat_p50_ms,src,planes_s1,planes_s2,planes_s3,total_prune_pct,in_predictor
T_g8_p97,0,int8_pc_wo,default,-1,0.0,,v3_1.1,4,4,4,0.9732142857142857,False
T_g8_p97,0,int8_ent,default,-1,0.0,,v3_1.1,4,4,4,0.9732142857142857,False
T_g8_p97,2,fp16,default,-1,0.0213,,v3_1.1,4,4,4,0.9732142857142857,False
T_g8_p97,2,int8_mm,default,-1,0.0177,,v3_1.1,4,4,4,0.9732142857142857,False
T_g8_p97,2,int8_pc_wo,default,-1,0.0194,,v3_1.1,4,4,4,0.9732142857142857,False
T_g8_p97,2,int8_ent,default,-1,0.0006,,v3_1.1,4,4,4,0.9732142857142857,False
T_g8_p87,8,fp16,optlow,-1,0.5695,4.027,v3_1.2,8,8,8,0.9464285714285714,True
T_g8_p87,8,fp16,sparse,-1,0.5695,1.9527,v3_1.2,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_ent,optlow,-1,0.5221,3.1382,v3_1.2,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_ent,sparse,-1,0.5221,,v3_1.2,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_mm,optlow,-1,0.57,,v3_1.2,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_mm,sparse,-1,0.57,1.6781,v3_1.2,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_pc_wo,optlow,-1,0.5718,,v3_1.2,8,8,8,0.9464285714285714,True
T_g8_p87,8,int8_pc_wo,sparse,-1,0.5718,,v3_1.2,8,8,8,0.9464285714285714,True
T_g8_p93,8,fp16,optlow,-1,0.5622,4.1738,v3_1.2,8,4,4,0.9642857142857143,True
T_g8_p93,8,fp16,sparse,-1,0.5622,,v3_1.2,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_ent,optlow,-1,0.5027,3.9717,v3_1.2,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_ent,sparse,-1,0.5027,2.1053,v3_1.2,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_mm,optlow,-1,0.5597,4.2627,v3_1.2,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_mm,sparse,-1,0.5597,,v3_1.2,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_pc_wo,optlow,-1,0.5621,,v3_1.2,8,4,4,0.9642857142857143,True
T_g8_p93,8,int8_pc_wo,sparse,-1,0.5621,,v3_1.2,8,4,4,0.9642857142857143,True
T_g8_p97,8,fp16,optlow,-1,0.5063,4.0547,v3_1.2,4,4,4,0.9732142857142857,True
T_g8_p97,8,fp16,sparse,-1,0.5063,,v3_1.2,4,4,4,0.9732142857142857,True
