cfg_id,triplet_sig,precision,d_scheme,d_tactic,d_workspace,build_success,lat_p50_ms,lat_p99_ms,lat_mean_ms,fail_reason
032_064_136_fp16_B_dla0_no_cudnn_1GB,032_064_136,fp16,B_dla0,no_cudnn,1GB,True,45.9551,46.2803,45.979,""
032_064_136_fp16_B_dla0_no_cudnn_2GB,032_064_136,fp16,B_dla0,no_cudnn,2GB,True,45.9482,45.958,45.9473,""
032_064_136_fp16_B_dla1_default_1GB,032_064_136,fp16,B_dla1,default,1GB,True,46.1118,46.3965,46.1525,""
032_064_136_fp16_B_dla1_default_2GB,032_064_136,fp16,B_dla1,default,2GB,True,46.1123,46.2649,46.1176,""
032_064_136_fp16_B_dla1_no_cudnn_1GB,032_064_136,fp16,B_dla1,no_cudnn,1GB,True,46.1094,46.2002,46.1131,""
032_064_136_fp16_B_dla1_no_cudnn_2GB,032_064_136,fp16,B_dla1,no_cudnn,2GB,True,46.1113,46.2485,46.1166,""
032_064_136_int8_A_gpu_default_1GB,032_064_136,int8,A_gpu,default,1GB,True,33.9541,35.2079,33.9258,""
032_064_136_int8_A_gpu_default_2GB,032_064_136,int8,A_gpu,default,2GB,True,33.2122,33.8438,33.2354,""
032_064_136_int8_A_gpu_no_cudnn_1GB,032_064_136,int8,A_gpu,no_cudnn,1GB,True,33.2236,34.5859,33.4074,""
032_064_136_int8_A_gpu_no_cudnn_2GB,032_064_136,int8,A_gpu,no_cudnn,2GB,True,33.8115,35.3154,33.6517,""
032_064_136_int8_B_dla0_default_1GB,032_064_136,int8,B_dla0,default,1GB,False,,,,"[05/11/2026-12:35:28] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
032_064_136_int8_B_dla0_default_2GB,032_064_136,int8,B_dla0,default,2GB,False,,,,"[05/11/2026-12:35:35] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
032_064_136_int8_B_dla0_no_cudnn_1GB,032_064_136,int8,B_dla0,no_cudnn,1GB,False,,,,"[05/11/2026-12:35:42] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
032_064_136_int8_B_dla0_no_cudnn_2GB,032_064_136,int8,B_dla0,no_cudnn,2GB,False,,,,"[05/11/2026-12:35:50] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
032_064_136_int8_B_dla1_default_1GB,032_064_136,int8,B_dla1,default,1GB,False,,,,"[05/11/2026-12:35:57] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
032_064_136_int8_B_dla1_default_2GB,032_064_136,int8,B_dla1,default,2GB,False,,,,"[05/11/2026-12:36:04] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
032_064_136_int8_B_dla1_no_cudnn_1GB,032_064_136,int8,B_dla1,no_cudnn,1GB,False,,,,"[05/11/2026-12:36:11] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
032_064_136_int8_B_dla1_no_cudnn_2GB,032_064_136,int8,B_dla1,no_cudnn,2GB,False,,,,"[05/11/2026-12:36:18] [E] Error[4]: [optimizer.cpp::checkIfDirectIOIsPossible::4316] Error Code 4: Internal Error (BuilderFlag::kDIRECT_IO specified but no conformant implementation exists)"
064_128_256_fp16_A_gpu_default_1GB,064_128_256,fp16,A_gpu,default,1GB,True,48.6783,49.7034,48.6639,""
064_128_256_fp16_A_gpu_default_2GB,064_128_256,fp16,A_gpu,default,2GB,True,48.694,48.8149,48.6941,""
064_128_256_fp16_A_gpu_no_cudnn_1GB,064_128_256,fp16,A_gpu,no_cudnn,1GB,True,48.7019,49.6548,48.719,""
064_128_256_fp16_A_gpu_no_cudnn_2GB,064_128_256,fp16,A_gpu,no_cudnn,2GB,True,48.6587,49.292,48.6565,""
064_128_256_fp16_B_dla0_default_1GB,064_128_256,fp16,B_dla0,default,1GB,False,,,,"Maximum allotted banks = 16; which is less than 5 + 12. "
064_128_256_fp16_B_dla0_default_2GB,064_128_256,fp16,B_dla0,default,2GB,False,,,,"Maximum allotted banks = 16; which is less than 5 + 12. "
064_128_256_fp16_B_dla0_no_cudnn_1GB,064_128_256,fp16,B_dla0,no_cudnn,1GB,False,,,,"Maximum allotted banks = 16; which is less than 5 + 12. "
064_128_256_fp16_B_dla0_no_cudnn_2GB,064_128_256,fp16,B_dla0,no_cudnn,2GB,False,,,,"Maximum allotted banks = 16; which is less than 5 + 12. "
064_128_256_fp16_B_dla1_default_1GB,064_128_256,fp16,B_dla1,default,1GB,False,,,,"Maximum allotted banks = 16; which is less than 5 + 12. "
064_128_256_fp16_B_dla1_default_2GB,064_128_256,fp16,B_dla1,default,2GB,False,,,,"Maximum allotted banks = 16; which is less than 5 + 12. "
064_128_256_fp16_B_dla1_no_cudnn_1GB,064_128_256,fp16,B_dla1,no_cudnn,1GB,False,,,,"Maximum allotted banks = 16; which is less than 5 + 12. "
