label,width,latency_p50_ms,latency_p50_us,run_id,config_id,raw_artifact
base,64x128x256,6.209998,6209.998,calib_h800_tvm_pyramid_base_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_base_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_base_fp16_tuned_clean_20260625_203000
p50,32x64x128,3.012122,3012.122,calib_h800_tvm_pyramid_p50_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_p50_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_p50_fp16_tuned_clean_20260625_203000
trap25,48x96x192,21.605161,21605.161,calib_h800_tvm_pyramid_trap25_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_trap25_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_trap25_fp16_tuned_clean_20260625_203000
pad64,64x96x192,6.163701,6163.701,calib_h800_tvm_pyramid_pad64_fp16_tuned_clean_retry_20260625_193926,calibration_h800_tvm_pyramid_pad64_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_pad64_fp16_tuned_clean_retry_20260625_193926
p75,16x32x64,0.483032,483.032,calib_h800_tvm_pyramid_p75_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_p75_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_p75_fp16_tuned_clean_20260625_203000
iso_s0,48x128x256,21.72284,21722.84,calib_h800_tvm_pyramid_iso_s0_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_iso_s0_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_iso_s0_fp16_tuned_clean_20260625_203000
iso_s1,64x96x256,6.917596,6917.596,calib_h800_tvm_pyramid_iso_s1_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_iso_s1_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_iso_s1_fp16_tuned_clean_20260625_203000
iso_s2,64x128x192,7.25165,7251.65,calib_h800_tvm_pyramid_iso_s2_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_iso_s2_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_iso_s2_fp16_tuned_clean_20260625_203000
s2_128,64x128x128,7.31406,7314.06,calib_h800_tvm_pyramid_s2_128_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_s2_128_fp16_metaschedule_tuned,/home/jichengzhi/V2X/multi_agent/data/stage2_lut_generation_v1/generated/calibration/latency_h800_tvm_v1/raw/calib_h800_tvm_pyramid_s2_128_fp16_tuned_clean_20260625_203000
