# gpu         pid  type    sm    mem    enc    dec     fb   ccpm    command
# Idx           #   C/G     %      %      %      %     MB     MB    name
    0    3844206     C    11     0     -     -   642     0   python3        
    1    3843171     C    17     0     -     -   640     0   python3        
    2          -     -     -     -     -     -     -     -   -              
    3          -     -     -     -     -     -     -     -   -              
    4    3842759     C    17     0     -     -   688     0   python3        
    5    3851838     C    12     0     -     -   658     0   python3        
    6          -     -     -     -     -     -     -     -   -              
    7          -     -     -     -     -     -     -     -   -              
