config_id,source,source_original,model_class,amota,amotp,mAP,NDS,lat_4090_pytorch_fp32_ms,est_orin_fp16_ms,est_orin_fp16_uncertainty_ms,est_orin_int8_ms,est_orin_int8_uncertainty_ms,extrapolation_warning,m2_f_extrapolation_factor,params_after_M,prune_rate__backbone,prune_rate__encoder_ffn,prune_rate__encoder_attn,prune_rate__encoder_heads,prune_rate__decoder_ffn,prune_rate__decoder_attn,prune_rate__decoder_heads,prune_rate__heads_mid,decoder_num_layers,q_bits__global_w,q_bits__global_a,q_bits__backbone,q_bits__encoder,q_bits__decoder,q_bits__heads,q_bits__v2x_comm,q_target,q_granularity_w,q_granularity_a,recall,mota,tp,fp,fn,gt,car_ap_4m,lat_e2e_std,params_reduction,lat_backbone_ms,lat_neck_ms,lat_bev_encoder_ms,lat_seg_head_ms,lat_track_head_decoder_ms,est_trt_latency_ms
E3,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2775,1.588,0.0471,0.0527,526.485,499.4168223222263,24.336002654685927,489.1248324737655,19.222054209984034,True,75.21214285714287,98.657853,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W+A,per_tensor,per_tensor,0.3757,0.3005,320.0,73.0,556.0,442.0,0.4486,17.896,0.0196,30.522,1.297,47.932,53.068,7.874,400.75846875
E4,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2976,1.5859,0.0468,0.0536,523.642,496.7205248910068,24.204589118597966,486.4827466742703,19.118255810943257,True,74.80600000000001,99.839805,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,16,16,16,16,16,W+A,per_channel,per_channel,0.3951,0.3182,326.0,75.0,554.0,442.0,0.4389,15.782,0.0078,30.532,1.293,49.312,53.747,7.727,437.967375
E5,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2794,1.5622,0.045,0.0524,520.317,493.56709929874324,24.05089583421791,483.39272371144165,18.99685951238167,True,74.331,99.051837,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6,8,8,16,16,16,16,16,W,per_tensor,per_tensor,0.3653,0.2834,320.0,76.0,558.0,442.0,0.4457,14.314,0.0157,30.443,1.296,48.19,52.455,7.916,431.64975
E6,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2582,1.6213,0.0463,0.0509,540.186,512.4108325597006,24.969311433420085,501.8575857410481,19.722279980387732,True,77.16942857142858,98.263869,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W+A,per_tensor,per_tensor,0.371,0.3045,306.0,71.0,572.0,442.0,0.4142,37.511,0.0235,30.587,1.387,50.174,55.292,8.539,404.5425625
E7,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2679,1.5986,0.0443,0.048,513.014,486.640943779856,23.713325291111897,476.6058251557913,18.73022577752595,True,73.28771428571429,94.849341,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W+A,per_tensor,per_tensor,0.3623,0.2831,302.0,72.0,576.0,442.0,0.4144,10.826,0.0574,30.735,1.32,48.217,53.49,7.96,401.38375
E8,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.2453,1.6027,0.0448,0.0496,518.019,491.3876791450526,23.944674129705025,481.25712287878594,18.912959153255496,True,74.00271428571429,94.849341,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,6,8,8,8,8,8,8,8,W+A,per_channel,per_channel,0.363,0.2761,302.0,78.0,575.0,442.0,0.4212,13.055,0.0574,30.694,1.295,48.553,52.119,7.865,401.38375
P1_20,uniad_tiny_variant,1.2_P1_FFN,uniad_tiny_variant,0.3054703318882421,1.516682719308004,0.0668689682176859,0.0613722145776281,518.203,491.56218450113573,23.95317926183312,481.42811963823266,18.919677023611985,True,74.029,98.280285,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6,32,32,32,32,32,32,32,none,per_tensor,per_tensor,0.4141042780748662,0.2837566844919786,364.0,106.0,494.0,442.0,,22.842,0.0233,30.442,1.301,49.454,54.497,7.948,503.9092
P1_30,uniad_tiny_variant,1.2_P1_FFN,uniad_tiny_variant,0.3189364455699283,1.525723813170029,0.0648456226363446,0.0596856025470897,527.67,500.5406747513488,24.39077755453265,490.2260887778111,19.265318755486433,True,75.38142857142857,97.057293,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,6,32,32,32,32,32,32,32,none,per_tensor,per_tensor,0.4425133689839572,0.2934491978609626,343.0,102.0,519.0,442.0,,24.496,0.0355,30.704,1.302,49.126,58.802,7.833,498.0918
P1_40,uniad_tiny_variant,1.2_P1_FFN,uniad_tiny_variant,0.2973091702724501,1.532220923347711,0.0627816132933385,0.058447786750836,534.377,506.9015846603145,24.70079886531069,496.45910652568824,19.51019243201352,True,76.33957142857142,95.932797,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,6,32,32,32,32,32,32,32,none,per_tensor,per_tensor,0.3940508021390374,0.2667112299465241,310.0,82.0,560.0,442.0,,33.268,0.0467,30.413,1.269,48.635,54.87,8.137,492.2744
P1_50,uniad_tiny_variant,1.2_P1_FFN,uniad_tiny_variant,0.2667773260459952,1.5715314338130963,0.0595431213112289,0.0566616752996505,517.092,490.5085135739163,23.901824904255307,480.39563377005146,18.879114230318173,True,73.87028571428571,94.849341,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,6,32,32,32,32,32,32,32,none,per_tensor,per_tensor,0.3716577540106952,0.2506684491978609,298.0,103.0,571.0,442.0,,18.303,0.0574,30.688,1.313,48.736,51.999,7.481,486.457
P1_60,uniad_tiny_variant,1.2_P1_FFN,uniad_tiny_variant,0.2365640636432951,1.6215946355796027,0.0561168360128594,0.0560600583492135,502.5,476.66948011758285,23.227330947661716,466.8348472817522,18.346357902916466,True,71.78571428571429,93.626349,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,6,32,32,32,32,32,32,32,none,per_tensor,per_tensor,0.2827540106951872,0.2245989304812834,224.0,41.0,650.0,442.0,,11.635,0.0696,30.654,1.311,47.898,49.977,7.488,480.6396
baseline,uniad_tiny_variant,plan_b_active,uniad_tiny_variant,0.33,1.473,,,515.544,489.0403924259993,23.830270857873256,478.9570305981842,18.822596494927698,True,73.64914285714285,100.627773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,32,32,32,32,32,32,32,none,per_tensor,per_tensor,0.422,0.303,383.0,109.0,473.0,442.0,,14.998,0.0,30.664,1.302,50.541,53.68,7.633,515.544
