config_id,model_class,source,is_real_measured,notes,amota,amotp,mAP,lat_e2e_ms,est_orin_fp16_ms,est_orin_int8_ms,est_orin_uncertainty_ms,extrapolation_warning,m2_f_factor,params_after_M,mem_peak_mb,NDS,recall,mota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm,d_runtime,d_pipelined,d_temporal_cache_int8,prune_rate__encoder_ffn,prune_rate__decoder_ffn,prune_rate__encoder_attn,prune_rate__decoder_attn,prune_rate__encoder_heads,prune_rate__decoder_heads,decoder_num_layers
p1_ffn_50pct_ft_q1,univ2x_full,1.2_prune_ft,True,FFN 50% q=1 微调,0.2904,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_50pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 50% q=2 微调,0.3129,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_60pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 60% q=2 微调 (Pareto 最优 trade),0.3354,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.6,L1,FP32,none,none,GPU,0.6,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_70pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 70% q=2 微调,0.3102,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.7,L1,FP32,none,none,GPU,0.7,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
p1_ffn_80pct_ft_q2,univ2x_full,1.2_prune_ft,True,FFN 80% q=2 微调,0.3102,,,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.8,L1,FP32,none,none,GPU,0.8,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
d22_bound_ffn60_int8,univ2x_full,1.2_joint,True,FFN 60% 绑定 + INT8 W+A,0.287,,0.071,,,,,0.0,,,,,,,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.6,L1,INT8,per-tensor,W+A,GPU,0.6,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,,,,,,,
d27_decouple_enc10_07_int8,univ2x_full,1.2_joint,True,"解耦 enc=1.0 dec=0.7 + INT8 W+A,联合最优",0.36,,0.074,,,,,0.0,,,,,,,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.30000000000000004,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,,,,,,,
d14_decouple_enc10_07_fp32,univ2x_full,1.2_pareto,True,"enc=1.0 dec=0.7 FP32, Track 最优",0.367,,0.073,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.30000000000000004,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
d12_decouple_enc08_03_fp32,univ2x_full,1.2_pareto,True,"enc=0.8 dec=0.3 FP32, 多任务平衡",0.337,,0.07,,,,,0.0,,,,,,,channel,0.0,none,FP32,none,none,GPU,0.19999999999999996,L1,FP32,none,none,GPU,0.7,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
v3_C1,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2956,1.5324,0.0634,508.601,482.45566042988344,472.50469091971235,23.50934079067004,1.0,72.65728571428572,98.263869,,0.0593,0.3981,0.2921,channel,0.0,none,FP32,none,none,GPU,0.5,L1,FP32,none,none,GPU,0.25,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,0.5,0.25,0.0,0.0,0.0,0.0,6.0
v3_C2,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2856,1.5481,0.0658,526.991,499.896712051455,489.59507356224407,24.359391768038197,1.0,75.28442857142856,97.869885,,0.0602,0.4034,0.2807,channel,0.0,none,FP32,none,none,GPU,0.625,L1,FP32,none,none,GPU,0.25,L1,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,0.625,0.25,0.0,0.0,0.0,0.0,6.0
v3_D1,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2924,1.5997,0.0489,562.588,533.6568596628243,522.6764412036906,26.004811270016134,1.0,80.36971428571428,100.627773,,0.0546,0.391,0.3195,none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,trt_int8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
v3_D2,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.3111,1.5742,0.0476,524.747,497.76850542617996,487.5096565611651,24.25566613491073,1.0,74.96385714285714,100.627773,,0.0536,0.4091,0.3272,none,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,trt_int8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
v3_D3,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.302,1.5825,0.0484,521.844,495.0153040744986,484.81181094880685,24.1214791861723,1.0,74.54914285714287,100.627773,,0.0549,0.39,0.3259,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,trt_int8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
v3_D4,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.3036,1.5845,0.0475,525.382,498.3707385844017,488.0997812472993,24.285018085461505,1.0,75.05457142857142,100.627773,,0.0538,0.3824,0.3229,none,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,trt_int8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
v3_D5,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2903,1.6002,0.0485,518.382,491.73194786384704,481.5944697466075,23.961453276240345,1.0,74.05457142857142,100.627773,,0.0544,0.3957,0.3112,none,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,trt_int8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
v3_E1,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2961,1.5825,0.0475,528.854,501.66357878179696,491.3264157516425,24.445506230835203,1.0,75.55057142857143,99.839805,,0.0538,0.3874,0.3051,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.25,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,0.25,0.0,0.0,0.0,0.0,0.0,6.0
v3_E11,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2526,1.6252,0.0431,508.874,482.7145732679851,472.75839806823933,23.521959818229668,1.0,72.69628571428572,94.849341,,0.0472,0.3499,0.2647,channel,0.0,none,FP16,per-tensor,W+A,GPU,0.5,L1,INT8,per-tensor,W+A,GPU,0.5,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,0.5,0.5,0.0,0.0,0.0,0.0,6.0
v3_E12,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2511,1.5926,0.0419,508.756,482.60266222441,472.6487371029419,23.51650544001708,1.0,72.67942857142857,97.081917,,0.0475,0.3593,0.266,channel,0.0,none,INT8,per-tensor,W-only,GPU,0.625,L1,INT8,per-tensor,W-only,GPU,0.5,L1,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,0.0,none,INT8,per-tensor,W-only,GPU,trt_int8,0,0,0.625,0.5,0.0,0.0,0.0,0.0,6.0
v3_E2,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2781,1.5778,0.0464,545.712,517.6516836342413,506.9930645057371,25.2247427385281,1.0,77.95885714285714,99.051837,,0.0517,0.3633,0.2998,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.5,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,0.5,0.0,0.0,0.0,0.0,0.0,6.0
v3_E3,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2775,1.588,0.0471,526.485,499.4168223222263,489.1248324737655,24.336002654685927,1.0,75.21214285714287,98.657853,,0.0527,0.3757,0.3005,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.625,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,0.625,0.0,0.0,0.0,0.0,0.0,6.0
v3_E4,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2976,1.5859,0.0468,523.642,496.7205248910068,486.4827466742703,24.204589118597966,1.0,74.80600000000001,99.839805,,0.0536,0.3951,0.3182,channel,0.0,none,FP16,per-channel,W+A,GPU,0.25,L1,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,0.0,none,FP16,per-channel,W+A,GPU,trt_fp16,0,0,0.25,0.0,0.0,0.0,0.0,0.0,6.0
v3_E5,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2794,1.5622,0.045,520.317,493.56709929874324,483.39272371144165,24.05089583421791,1.0,74.331,99.051837,,0.0524,0.3653,0.2834,channel,0.0,none,FP16,per-tensor,W-only,GPU,0.5,L1,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,0.0,none,FP16,per-tensor,W-only,GPU,trt_fp16,0,0,0.5,0.0,0.0,0.0,0.0,0.0,6.0
v3_E6,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2582,1.6213,0.0463,540.186,512.4108325597006,501.8575857410481,24.969311433420085,1.0,77.16942857142858,98.263869,,0.0509,0.371,0.3045,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.25,L1,INT8,per-tensor,W+A,GPU,0.5,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,0.25,0.5,0.0,0.0,0.0,0.0,6.0
v3_E7,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2679,1.5986,0.0443,513.014,486.640943779856,476.6058251557913,23.713325291111897,1.0,73.28771428571429,94.849341,,0.048,0.3623,0.2831,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.5,L1,INT8,per-tensor,W+A,GPU,0.5,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,0,0.5,0.5,0.0,0.0,0.0,0.0,6.0
v3_E8,uniad_tiny_variant,plan_b_active,True,UniV2X plan_b_active 4090 联合搜索实测,0.2453,1.6027,0.0448,518.019,491.3876791450526,481.25712287878594,23.944674129705025,1.0,74.00271428571429,94.849341,,0.0496,0.363,0.2761,channel,0.0,none,INT8,per-channel,W+A,GPU,0.5,L1,INT8,per-channel,W+A,GPU,0.5,L1,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,0.0,none,INT8,per-channel,W+A,GPU,trt_int8,0,0,0.5,0.5,0.0,0.0,0.0,0.0,6.0
