config_id,model_class,source,is_real_measured,notes,amota,amotp,mAP,lat_e2e_ms,est_orin_fp16_ms,est_orin_int8_ms,est_orin_uncertainty_ms,extrapolation_warning,m2_f_factor,params_after_M,mem_peak_mb,NDS,recall,mota,prune_object,prune_rate__backbone,prune_criterion__backbone,q_bits__backbone,q_granularity__backbone,q_object__backbone,d_routing__backbone,prune_rate__encoder,prune_criterion__encoder,q_bits__encoder,q_granularity__encoder,q_object__encoder,d_routing__encoder,prune_rate__decoder,prune_criterion__decoder,q_bits__decoder,q_granularity__decoder,q_object__decoder,d_routing__decoder,prune_rate__heads,prune_criterion__heads,q_bits__heads,q_granularity__heads,q_object__heads,d_routing__heads,prune_rate__v2x_comm,prune_criterion__v2x_comm,q_bits__v2x_comm,q_granularity__v2x_comm,q_object__v2x_comm,d_routing__v2x_comm,d_runtime,d_pipelined,d_temporal_cache_int8,prune_rate__encoder_ffn,prune_rate__decoder_ffn,prune_rate__encoder_attn,prune_rate__decoder_attn,prune_rate__encoder_heads,prune_rate__decoder_heads,decoder_num_layers
d3_baseline_int8_1frame,uniad_tiny_variant,1.3_d,True,D3 时序缓存 int8_1frame (INT8缓存AMOTA≥FP16! 精度无损+显存-50%),0.339,,0.074,530.0,502.75044366261915,492.39142817732716,24.49847841245912,1.0,75.71428571428571,,2487.0,,,,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,1,,,,,,,
d3_baseline_fp16_0frame,uniad_tiny_variant,1.3_d,True,"D3 时序缓存 fp16_0frame (AMOTA崩溃(-93.7%)! 无时序=tracker失效, 从搜索空间移除)",0.021,,0.028,625.4,593.227677197036,581.0495306296125,28.908204526701763,1.0,89.34285714285714,,2437.0,,,,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,trt_fp16,0,0,,,,,,,
d3_baseline_fp16_2frame,uniad_tiny_variant,1.3_d,True,D3 时序缓存 fp16_2frame (与1-frame完全相同! 2帧无收益),0.333,,0.074,552.0,523.6152144986481,512.836692893787,25.51539638429705,1.0,78.85714285714286,,2516.0,,,,none,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,trt_fp16,0,0,,,,,,,
d3_baseline_int8_2frame,uniad_tiny_variant,1.3_d,True,D3 时序缓存 int8_2frame (与1-frame完全相同! 2帧无收益),0.339,,0.074,541.0,513.1828290806336,502.61406053555714,25.006937398378085,1.0,77.28571428571429,,2498.0,,,,none,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,1,,,,,,,
d3_pruned60_coupling_int8_1frame,uniad_tiny_variant,1.3_d,True,D3 时序缓存 int8_1frame (),0.32,,,535.0,507.4924370344439,497.0380792492499,24.729596133331377,1.0,76.42857142857143,,2460.0,,,,channel,0.0,none,INT8,per-tensor,W+A,GPU,0.6,L1,INT8,per-tensor,W+A,GPU,0.6,L1,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,0.0,none,INT8,per-tensor,W+A,GPU,trt_int8,0,1,,,,,,,
d3_pruned60_coupling_fp16_2frame,uniad_tiny_variant,1.3_d,True,D3 时序缓存 fp16_2frame (),0.321,,,510.0,483.78247017532,473.8048238896363,23.5740075289701,1.0,72.85714285714286,,2489.0,,,,channel,0.0,none,FP16,per-tensor,W+A,GPU,0.6,L1,FP16,per-tensor,W+A,GPU,0.6,L1,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,0.0,none,FP16,per-tensor,W+A,GPU,trt_fp16,0,0,,,,,,,
d4_baseline_dynamic,uniad_tiny_variant,1.3_d,True,D4 内存策略 dynamic,,,,526.1,499.0516888325958,488.76704034122747,24.318206590178765,1.0,75.15714285714286,,2476.0,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
d4_baseline_defrag,uniad_tiny_variant,1.3_d,True,D4 内存策略 defrag,,,,523.1,496.20649280950096,485.9790496980738,24.17953595765541,1.0,74.72857142857143,,2476.0,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
baseline_fp32,pyramid_fusion,m4_5_pyramid_configs,True,"M4.5 Pyramid baseline_fp32 layer=[3, 5, 8] filters=[64, 128, 256] fp32",0.96,,,4.405707359313965,4.277513268405525,3.940771518266002,0.20364740874295367,0.0,0.6293867656162807,3.7576,,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
baseline_fp16,pyramid_fusion,m4_5_pyramid_configs,True,"M4.5 Pyramid baseline_fp16 layer=[3, 5, 8] filters=[64, 128, 256] fp16",0.96,,,3.390135850906372,3.3143465961089453,2.9969702306347394,0.1567040942617613,0.0,0.4843051215580531,3.7576,,,,,none,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,pytorch_fp16,0,0,,,,,,,
prune25_fp16,pyramid_fusion,m4_5_pyramid_configs,True,"M4.5 Pyramid prune25_fp16 layer=[3, 5, 8] filters=[48, 96, 192] fp16",,,,3.5978350698947907,3.5113282600641984,3.189991390344749,0.1663046882856715,0.0,0.5139764385563986,2.2365,,,,,channel,0.25,L1,FP16,none,none,GPU,0.25,L1,FP16,none,none,GPU,0.25,L1,FP16,none,none,GPU,0.25,L1,FP16,none,none,GPU,0.25,L1,FP16,none,none,GPU,pytorch_fp16,0,0,,,,,,,
prune50_fp16,pyramid_fusion,m4_5_pyramid_configs,True,"M4.5 Pyramid prune50_fp16 layer=[3, 5, 8] filters=[32, 64, 128] fp16",,,,2.345296171307564,2.32342202905353,2.0259691471957018,0.1084079011766064,0.0,0.33504231018679487,1.1012,,,,,channel,0.5,L1,FP16,none,none,GPU,0.5,L1,FP16,none,none,GPU,0.5,L1,FP16,none,none,GPU,0.5,L1,FP16,none,none,GPU,0.5,L1,FP16,none,none,GPU,pytorch_fp16,0,0,,,,,,,
prune75_fp16,pyramid_fusion,m4_5_pyramid_configs,True,"M4.5 Pyramid prune75_fp16 layer=[3, 5, 8] filters=[16, 32, 64] fp16",,,,1.6689161562919617,1.6819441194457836,1.3973887628358315,0.07714321967381675,0.0,0.23841659375599453,0.3559,,,,,channel,0.75,L1,FP16,none,none,GPU,0.75,L1,FP16,none,none,GPU,0.75,L1,FP16,none,none,GPU,0.75,L1,FP16,none,none,GPU,0.75,L1,FP16,none,none,GPU,pytorch_fp16,0,0,,,,,,,
shallow_fp16,pyramid_fusion,m4_5_pyramid_configs,True,"M4.5 Pyramid shallow_fp16 layer=[2, 3, 5] filters=[64, 128, 256] fp16",,,,2.298974084854126,2.2794902236672705,1.9829206326611888,0.10626673016717314,0.0,0.32842486926487513,2.5502,,,,,none,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,pytorch_fp16,0,0,,,,,,,
wider_fp16,pyramid_fusion,m4_5_pyramid_configs,True,"M4.5 Pyramid wider_fp16 layer=[3, 5, 8] filters=[96, 192, 384] fp16",,,,4.835130863189697,4.684777950222425,4.339847755184598,0.2234968850439012,0.0,0.690732980455671,7.9829,,,,,none,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,pytorch_fp16,0,0,,,,,,,
int8_proxy_fp16,pyramid_fusion,m4_5_pyramid_configs,True,"M4.5 Pyramid int8_proxy_fp16 layer=[3, 5, 8] filters=[64, 128, 256] fp16",,,,4.097556009292602,3.9852629365414938,3.6543971580877623,0.18940356120282448,0.0,0.5853651441846575,3.7576,,,,,none,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,pytorch_fp16,0,0,,,,,,,
m4_6_0_pyramid_full_e2e_fp32,pyramid_fusion,m4_6_0_pyramid_full_e2e,True,M4.6.0 完整 e2e 实测 OPV2V test 2170 samples; AP30=0.9691/AP50=0.9635/AP70=0.9272; 4090 PyTorch fp32 (autocast for fp16),0.9634881685775464,,,35.3111515045166,,,,,,5.5,,,,,none,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,0.0,none,FP32,none,none,GPU,pytorch_fp32,0,0,,,,,,,
m4_6_0_pyramid_full_e2e_fp16,pyramid_fusion,m4_6_0_pyramid_full_e2e,True,M4.6.0 完整 e2e 实测 OPV2V test 2170 samples; AP30=0.9690/AP50=0.9631/AP70=0.9268; 4090 PyTorch fp16 (autocast for fp16),0.963101325212515,,,26.704383850097656,,,,,,5.5,,,,,none,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,0.0,none,FP16,none,none,GPU,pytorch_fp16,0,0,,,,,,,
