index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], pstate
0, NVIDIA H800, 0 %, 545 MiB, 81559 MiB, 97.98 W, P0
1, NVIDIA H800, 100 %, 663 MiB, 81559 MiB, 332.17 W, P0
2, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 68.73 W, P0
3, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 72.65 W, P0
4, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 72.92 W, P0
5, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 75.00 W, P0
6, NVIDIA H800, 0 %, 8 MiB, 81559 MiB, 74.08 W, P0
7, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 72.03 W, P0
