index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W], pstate
0, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 71.97 W, P0
1, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 67.55 W, P0
2, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 69.61 W, P0
3, NVIDIA H800, 0 %, 6813 MiB, 81559 MiB, 117.75 W, P0
4, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 70.37 W, P0
5, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 72.93 W, P0
6, NVIDIA H800, 0 %, 8 MiB, 81559 MiB, 73.83 W, P0
7, NVIDIA H800, 0 %, 4 MiB, 81559 MiB, 70.64 W, P0
