t_voxelize_ms,t_encoder_ms,t_backbone_ms,t_fusion_ms,t_head_ms,t_e2e_ms,n_voxels,batch_agents,frame
2.287616014480591,2.139967918395996,0.9379839897155762,5.848063945770264,1.562399983406067,12.776031851768494,20859,2,007416.npy
2.3255040645599365,2.012160062789917,0.9398080110549927,5.842688083648682,1.5646719932556152,12.684832215309143,18857,2,005759.npy
2.3050239086151123,2.026495933532715,0.9379839897155762,5.796864032745361,1.5646400451660156,12.63100790977478,19005,2,005760.npy
2.3306241035461426,2.0049920082092285,0.9359359741210938,5.8368000984191895,1.5635520219802856,12.67190420627594,18843,2,005761.npy
2.2936320304870605,2.041856050491333,0.9400320053100586,5.841919898986816,1.5605759620666504,12.678015947341919,19021,2,005762.npy
2.3101439476013184,2.012160062789917,0.9368320107460022,5.906432151794434,1.5575040578842163,12.723072230815887,18671,2,005764.npy
2.3060479164123535,2.026495933532715,0.9349120259284973,5.834752082824707,1.5593600273132324,12.661567986011505,18753,2,005769.npy
2.3060479164123535,2.008064031600952,0.9387840032577515,5.8533759117126465,1.5605440139770508,12.666815876960754,18593,2,005771.npy
2.3449599742889404,2.0992000102996826,0.933023989200592,5.823488235473633,1.55840003490448,12.759072244167328,20145,2,005787.npy
2.299936056137085,2.1237759590148926,0.9338880181312561,5.842944145202637,1.5614399909973145,12.761984169483185,20647,2,005792.npy
2.3049280643463135,2.1195199489593506,0.9338880181312561,5.809152126312256,1.5615999698638916,12.729088127613068,20744,2,005793.npy
2.293760061264038,2.156480073928833,0.9357439875602722,5.840896129608154,1.5626239776611328,12.78950423002243,20913,2,005794.npy
2.32857608795166,2.141184091567993,0.9328640103340149,5.807104110717773,1.559391975402832,12.769120275974274,21209,2,005796.npy
2.2946879863739014,2.1473278999328613,0.9357119798660278,5.848063945770264,1.5595519542694092,12.785343766212463,21151,2,005798.npy
2.317312002182007,2.48524808883667,0.9370560050010681,5.834527969360352,1.5605759620666504,13.134720027446747,21682,2,005800.npy
2.2999041080474854,2.463776111602783,0.9379839897155762,5.82041597366333,1.5595519542694092,13.081632137298584,22441,2,005805.npy
2.321280002593994,2.445280075073242,0.9389439821243286,5.791840076446533,1.5575040578842163,13.054848194122314,22639,2,005806.npy
2.3009281158447266,2.2169599533081055,0.8970239758491516,5.82041597366333,1.4837759733200073,12.719103991985321,22453,2,005807.npy
2.2904000282287598,2.2291839122772217,0.9011200070381165,5.824416160583496,1.4827519655227661,12.72787207365036,22769,2,005808.npy
2.307231903076172,2.2128639221191406,0.8938239812850952,5.798912048339844,1.4827519655227661,12.695583820343018,22507,2,005809.npy
2.3073599338531494,2.2346560955047607,0.8978239893913269,5.791584014892578,1.4858239889144897,12.717248022556305,22713,2,005810.npy
2.5878078937530518,2.230272054672241,0.8939520120620728,5.8406081199646,1.4837119579315186,13.036352038383484,22674,2,005811.npy
2.3255040645599365,2.234368085861206,0.8980479836463928,5.819392204284668,1.4796799421310425,12.756992280483246,22668,2,005812.npy
2.2958080768585205,2.2425599098205566,0.8948479890823364,5.797887802124023,1.481727957725525,12.712831735610962,22613,2,005813.npy
2.3144640922546387,2.220031976699829,0.8960000276565552,5.8081278800964355,1.4807679653167725,12.719391942024231,22732,2,005814.npy
2.283519983291626,2.4975359439849854,0.8979520201683044,5.816319942474365,1.4867839813232422,12.982111871242523,23199,2,005816.npy
2.313983917236328,2.226111888885498,0.8980479836463928,5.938176155090332,1.4807039499282837,12.857023894786835,22701,2,005817.npy
2.286720037460327,2.2568960189819336,0.8968960046768188,5.807104110717773,1.481727957725525,12.729344129562378,22922,2,005818.npy
2.3101439476013184,2.2415359020233154,0.9084159731864929,5.805056095123291,1.481727957725525,12.746879875659943,22957,2,005819.npy
2.2824320793151855,2.249727964401245,0.8947200179100037,5.799039840698242,1.481727957725525,12.707647860050201,23112,2,005820.npy
2.297856092453003,2.244607925415039,0.8960000276565552,5.789696216583252,1.4858239889144897,12.713984251022339,22892,2,005821.npy
2.303040027618408,2.25382399559021,0.8947839736938477,5.8079681396484375,1.482848048210144,12.742464184761047,23255,2,005822.npy
2.3152639865875244,2.238464117050171,0.894976019859314,5.82144021987915,1.482848048210144,12.752992391586304,22925,2,005823.npy
2.283519983291626,2.2476799488067627,0.8988479971885681,5.794816017150879,1.4815679788589478,12.706431925296783,22876,2,005824.npy
2.3101119995117188,2.2445759773254395,0.8970239758491516,5.816319942474365,1.4837759733200073,12.751807868480682,22908,2,005825.npy
2.3019518852233887,2.5067520141601562,0.8980479836463928,5.799935817718506,1.4827519655227661,12.98943966627121,23305,2,005826.npy
2.297856092453003,2.2466559410095215,0.8947200179100037,5.806079864501953,1.4834879636764526,12.728799879550934,22941,2,005827.npy
2.938015937805176,2.3367679119110107,0.9174399971961975,6.048768043518066,1.486624002456665,13.727615892887115,22986,2,005828.npy
2.2948479652404785,2.259903907775879,0.8957759737968445,5.842144012451172,1.481727957725525,12.774399816989899,23120,2,005829.npy
2.314239978790283,2.2814719676971436,0.8960000276565552,5.816319942474365,1.481727957725525,12.789759874343872,23283,2,005830.npy
2.313215970993042,2.240511894226074,0.8950719833374023,5.819200038909912,1.4807039499282837,12.748703837394714,23042,2,005831.npy
2.2867839336395264,2.263040065765381,0.8948479890823364,5.80406379699707,1.4858239889144897,12.734559774398804,23195,2,005832.npy
2.2835519313812256,2.2488319873809814,0.8939520120620728,5.8572797775268555,1.481727957725525,12.76534366607666,22938,2,005833.npy
2.3236160278320312,2.2805440425872803,0.8960000276565552,5.818367958068848,1.4818880558013916,12.800416111946106,23466,2,005834.npy
2.297663927078247,2.279423952102661,0.8960000276565552,5.834464073181152,1.4837759733200073,12.791327953338623,23368,2,005835.npy
2.3009281158447266,2.2702078819274902,0.9052159786224365,5.797855854034424,1.4858239889144897,12.760031819343567,23221,2,005836.npy
2.3009281158447266,2.258944034576416,0.8960000276565552,5.831679821014404,1.4858239889144897,12.773375988006592,23356,2,005837.npy
2.3308799266815186,2.25382399559021,0.8978880047798157,5.811200141906738,1.4847999811172485,12.778592050075531,22912,2,005839.npy
2.310080051422119,2.25382399559021,0.8941119909286499,5.844992160797119,1.4837759733200073,12.786784172058105,23053,2,005840.npy
2.309119939804077,2.249567985534668,0.8970239758491516,5.78329610824585,1.4837759733200073,12.722783982753754,23066,2,005841.npy
