t_voxelize_ms,t_encoder_ms,t_backbone_ms,t_fusion_ms,t_head_ms,t_nms_ms,t_e2e_ms,t_e2e_wallclock_ms,t_glue_ms,n_voxels,n_dets,batch_agents,frame
1.2161600589752197,1.1282880306243896,0.5394240021705627,4.292384147644043,1.5595519542694092,2.044032096862793,10.779840290546417,10.95263957977295,0.17279928922653198,9294,19,1,005764.npy
1.2052479982376099,1.136639952659607,0.5375999808311462,4.275199890136719,1.5626239776611328,2.0483200550079346,10.76563185453415,10.932000160217285,0.166368305683136,9357,16,1,005769.npy
1.220736026763916,1.1368319988250732,0.5418559908866882,4.283360004425049,1.563647985458374,2.05731201171875,10.80374401807785,10.968255996704102,0.16451197862625122,9323,17,1,005771.npy
1.19542396068573,1.206272006034851,0.536575973033905,4.295807838439941,1.5605759620666504,2.0629119873046875,10.857567727565765,11.032032012939453,0.17446428537368774,10551,18,1,005787.npy
1.19542396068573,1.2647039890289307,0.5436480045318604,4.2751359939575195,1.5554560422897339,2.073535919189453,10.907903909683228,11.077728271484375,0.16982436180114746,11119,16,1,005792.npy
1.1913599967956543,1.265663981437683,0.532480001449585,4.282368183135986,1.556480050086975,2.073024034500122,10.901376247406006,11.06924819946289,0.16787195205688477,11174,16,1,005793.npy
1.1932159662246704,1.2720320224761963,0.5343999862670898,4.28323221206665,1.5563199520111084,2.053920030593872,10.893120169639587,11.060288429260254,0.1671682596206665,11355,16,1,005794.npy
1.2004480361938477,1.2974079847335815,0.5334720015525818,4.284416198730469,1.556480050086975,2.0330240726470947,10.90524834394455,11.07107162475586,0.16582328081130981,11609,17,1,005796.npy
1.2013119459152222,1.2738560438156128,0.5406720042228699,4.263743877410889,1.5544320344924927,2.0568959712982178,10.890911877155304,11.054656028747559,0.16374415159225464,11522,14,1,005798.npy
1.1992000341415405,1.3127679824829102,0.5336319804191589,4.276480197906494,1.5582400560379028,2.066783905029297,10.947104156017303,11.125151634216309,0.17804747819900513,12033,14,1,005800.npy
1.2013119459152222,1.5423359870910645,0.5335040092468262,4.198400020599365,1.5595519542694092,2.0498878955841064,11.084991812705994,11.256799697875977,0.1718078851699829,12771,14,1,005805.npy
1.194591999053955,1.5441919565200806,0.5212159752845764,4.192160129547119,1.481503963470459,2.0383360385894775,10.972000062465668,11.141119956970215,0.16911989450454712,12959,15,1,005806.npy
1.1888320446014404,1.3649920225143433,0.5171200037002563,4.189184188842773,1.4758399724960327,2.0310399532318115,10.767008185386658,10.936863899230957,0.16985571384429932,12690,14,1,005807.npy
1.1929919719696045,1.3844799995422363,0.517087996006012,4.201536178588867,1.4786239862442017,2.0421760082244873,10.816896140575409,10.983807563781738,0.16691142320632935,12996,15,1,005808.npy
1.204800009727478,1.3506560325622559,0.5242879986763,4.193280220031738,1.4757440090179443,2.0413761138916016,10.790144383907318,10.955967903137207,0.16582351922988892,12685,16,1,005809.npy
1.213536024093628,1.3731839656829834,0.5212159752845764,4.20147180557251,1.4807039499282837,2.012576103210449,10.80268782377243,10.974111557006836,0.17142373323440552,12914,15,1,005810.npy
1.1893759965896606,1.3834240436553955,0.5179200172424316,4.1943039894104,1.4827519655227661,2.0418241024017334,10.809600114822388,10.974752426147461,0.16515231132507324,12870,15,1,005811.npy
1.1847039461135864,1.377087950706482,0.5242879986763,4.184063911437988,1.4827519655227661,2.0322558879852295,10.785151660442352,10.953344345092773,0.16819268465042114,12942,15,1,005812.npy
1.1948479413986206,1.3752319812774658,0.5199999809265137,4.183040142059326,1.4814720153808594,2.0267839431762695,10.781376004219055,10.947999954223633,0.16662395000457764,12808,14,1,005813.npy
1.209920048713684,1.371135950088501,0.52019202709198,4.171775817871094,1.4776320457458496,2.0231359004974365,10.773791790008545,10.935199737548828,0.1614079475402832,12914,14,1,005814.npy
1.2022720575332642,1.5677440166473389,0.5406720042228699,4.18390417098999,1.4735360145568848,2.0197439193725586,10.987872183322906,11.15766429901123,0.16979211568832397,13206,14,1,005816.npy
1.191648006439209,1.3732800483703613,0.51910400390625,4.192543983459473,1.4827200174331665,2.0150399208068848,10.774335980415344,10.940064430236816,0.16572844982147217,12843,15,1,005817.npy
1.2172160148620605,1.3729920387268066,0.5224639773368835,4.177919864654541,1.4788479804992676,2.019360065460205,10.788799941539764,10.951807975769043,0.16300803422927856,12880,15,1,005818.npy
1.2085440158843994,1.3701119422912598,0.5220800042152405,4.172800064086914,1.4776320457458496,1.9869439601898193,10.738112032413483,10.905599594116211,0.16748756170272827,12844,13,1,005819.npy
1.2121280431747437,1.3875199556350708,0.525600016117096,4.1881279945373535,1.4776320457458496,2.075455904006958,10.866463959217072,11.03321647644043,0.16675251722335815,13009,14,1,005820.npy
1.2200000286102295,1.369088053703308,0.5211520195007324,4.199488162994385,1.4787520170211792,2.026815891265869,10.815296173095703,10.982687950134277,0.16739177703857422,12800,14,1,005821.npy
1.1910719871520996,1.408735990524292,0.51910400390625,4.220928192138672,1.4835840463638306,1.9961600303649902,10.819584250450134,10.984864234924316,0.16527998447418213,13083,12,1,005822.npy
1.1953599452972412,1.3837120532989502,0.5212159752845764,4.188928127288818,1.480512022972107,2.0082879066467285,10.778016030788422,10.945695877075195,0.16767984628677368,12883,14,1,005823.npy
1.2018239498138428,1.3710399866104126,0.5222399830818176,4.1954240798950195,1.4796799421310425,2.0299839973449707,10.800191938877106,10.968416213989258,0.1682242751121521,12778,13,1,005824.npy
1.199679970741272,1.3803520202636719,0.5181440114974976,4.223999977111816,1.4807360172271729,2.0306239128112793,10.83353590965271,10.99948787689209,0.16595196723937988,12820,14,1,005825.npy
1.1898239850997925,1.397760033607483,0.5263360142707825,4.205471992492676,1.4827519655227661,2.021343946456909,10.823487937450409,10.98799991607666,0.16451197862625122,13092,14,1,005826.npy
1.1997120380401611,1.368064045906067,0.5201600193977356,4.1902079582214355,1.4837759733200073,2.018496036529541,10.780416071414948,10.94547176361084,0.16505569219589233,12777,15,1,005827.npy
1.1908479928970337,1.376255989074707,0.5191680192947388,4.200255870819092,1.4795199632644653,2.015968084335327,10.782015919685364,10.947423934936523,0.16540801525115967,12775,15,1,005828.npy
1.1964160203933716,1.3803520202636719,0.52019202709198,4.199423789978027,1.4786239862442017,2.024735927581787,10.79974377155304,10.969440460205078,0.16969668865203857,12894,15,1,005829.npy
1.2110079526901245,1.393664002418518,0.5181440114974976,4.192192077636719,1.4786560535430908,2.007296085357666,10.800960183143616,10.965567588806152,0.16460740566253662,13110,16,1,005830.npy
1.209887981414795,1.3619199991226196,0.5178560018539429,4.189184188842773,1.4784959554672241,2.0270400047302246,10.78438413143158,10.945728302001953,0.16134417057037354,12749,14,1,005831.npy
1.192031979560852,1.3895679712295532,0.5181440114974976,4.203455924987793,1.4786560535430908,2.042304039001465,10.824159979820251,10.992639541625977,0.1684795618057251,12963,14,1,005832.npy
1.187391996383667,1.3529599905014038,0.5201600193977356,4.198400020599365,1.4807039499282837,2.036832094192505,10.77644807100296,10.942591667175293,0.16614359617233276,12654,15,1,005833.npy
1.199295997619629,1.4039039611816406,0.5189120173454285,4.189023971557617,1.4796799421310425,2.02838397026062,10.819199860095978,10.983488082885742,0.1642882227897644,13157,14,1,005834.npy
1.203711986541748,1.376255989074707,0.5221760272979736,4.1910080909729,1.4786560535430908,2.0134079456329346,10.785216093063354,10.951552391052246,0.1663362979888916,12903,15,1,005835.npy
1.2014720439910889,1.372383952140808,0.5160959959030151,4.196352005004883,1.481727957725525,2.008960008621216,10.776991963386536,10.941344261169434,0.16435229778289795,12815,14,1,005836.npy
1.194208025932312,1.381376028060913,0.5191680192947388,4.200448036193848,1.4796799421310425,2.0244479179382324,10.799327969551086,10.961695671081543,0.16236770153045654,12930,14,1,005837.npy
1.2009600400924683,1.3506560325622559,0.52019202709198,4.205567836761475,1.4796799421310425,2.0137600898742676,10.770815968513489,10.93603229522705,0.165216326713562,12615,15,1,005839.npy
1.2197439670562744,1.3567999601364136,0.5222079753875732,4.185152053833008,1.4837759733200073,2.0183041095733643,10.78598403930664,10.950048446655273,0.1640644073486328,12665,14,1,005840.npy
1.2059839963912964,1.370911955833435,0.5181440114974976,4.203519821166992,1.4809279441833496,2.0370240211486816,10.816511750221252,10.985119819641113,0.16860806941986084,12841,15,1,005841.npy
1.1993600130081177,1.4008320569992065,0.5221120119094849,4.181024074554443,1.4755840301513672,2.0341761112213135,10.813088297843933,10.979104042053223,0.16601574420928955,13175,15,1,005842.npy
1.1881599426269531,1.3700159788131714,0.5181440114974976,4.1893439292907715,1.4796160459518433,2.036191940307617,10.781471848487854,10.949440002441406,0.16796815395355225,12675,15,1,005843.npy
1.1889920234680176,1.3783040046691895,0.5221120119094849,4.198400020599365,1.4827200174331665,2.0428481101989746,10.813376188278198,10.976223945617676,0.16284775733947754,12804,15,1,005844.npy
1.1916160583496094,1.3642560243606567,0.5242879986763,4.225024223327637,1.481727957725525,2.0278398990631104,10.814752161502838,10.980928421020508,0.16617625951766968,12623,15,1,005845.npy
1.1898560523986816,1.376255989074707,0.517087996006012,4.190239906311035,1.4786560535430908,2.0113279819488525,10.76342397928238,10.92563247680664,0.16220849752426147,12806,15,1,005846.npy
